surface_text,book,chapter,verse,clause_atom,predicate,reference,participant,actor,slots,func,compound,otype
GDWL,Leviticus,19,15,528388,HDR,GDWL,2sm=,...,64038,#NAVN?,739,...
B-YDQ,Leviticus,19,15,528389,CPV,B YDQ,0sm=YDQ,YDQ,64039 64040,Adjunc,740,943833
TCPV,Leviticus,19,15,528389,CPV,CPV,2sm=,"2sm""YOUSgmas""",64041,VbPred,741,943834
<MJTK,Leviticus,19,15,528389,CPV,<MJT+212,"3sm=<MJT+2sm""YOUSgmas""","<MJT 2sm""YOUSgmas""",64042,Obj1,742 743,943835
sfx:K,Leviticus,19,15,528389,CPV,sfx,2sm=,"2sm""YOUSgmas""",64042,#NAVN?,743,64042
TLK,Leviticus,19,16,528390,HLK,HLK,2sm=,"2sm""YOUSgmas""",64044,VbPred,744,943837
RKJL,Leviticus,19,16,528390,HLK,RKJL,...,...,64045,525,745,...
B-<MJK,Leviticus,19,16,528390,HLK,B <M+212,...,...,64046 64047,Compl1,746 747,...
sfx:K,Leviticus,19,16,528390,HLK,sfx,2sm=,"2sm""YOUSgmas""",64047,#NAVN?,747,64047
T<MD,Leviticus,19,16,528391,<MD,<MD,2sm=,"2sm""YOUSgmas""",64049,VbPred,748,943841
<L DM R<K,Leviticus,19,16,528391,<MD,<L DM R<+S,...,...,64050 64051 64052,Compl1,749 750 751,...
R<K,Leviticus,19,16,528391,<MD,R<+212,"0sm=R<+2sm""YOUSgmas""","R< 2sm""YOUSgmas""",64052,#NAVN?,750 751,1317537
sfx:K,Leviticus,19,16,528391,<MD,sfx,2sm=,"2sm""YOUSgmas""",64052,#NAVN?,751,64052
>NJ,Leviticus,19,16,528392,....,>NJ,1sc=>NJ,JHWH,64053,Subj,752,943843
JHWH,Leviticus,19,16,528392,....,JHWH,3sm=JHWH,JHWH,64054,PrCompl,753,943844
TFN>,Leviticus,19,17,528393,FN>,FN>,2sm=,"2sm""YOUSgmas""",64056,VbPred,754,943846
>T >XJK,Leviticus,19,17,528393,FN>,>T >X+212,...,...,64057 64058,Obj1,755 756,...
sfx:K,Leviticus,19,17,528393,FN>,sfx,2sm=,"2sm""YOUSgmas""",64058,#NAVN?,756,64058
B-LBBK,Leviticus,19,17,528393,FN>,B LBB+212,...,...,64059 64060,Adjunc,757 758,...
sfx:K,Leviticus,19,17,528393,FN>,sfx,2sm=,"2sm""YOUSgmas""",64060,#NAVN?,758,64060
TWKJX,Leviticus,19,17,528394,JKX,JKX,2sm=,"2sm""YOUSgmas""",64062,VbPred,759,943850
>T <MJTK,Leviticus,19,17,528394,JKX,>T <MJT+212,"3sm=<MJT+2sm""YOUSgmas""","<MJT 2sm""YOUSgmas""",64063 64064,Obj1,760 761,943851
sfx:K,Leviticus,19,17,528394,JKX,sfx,2sm=,"2sm""YOUSgmas""",64064,#NAVN?,761,64064
TF>,Leviticus,19,17,528395,NF>,NF>,2sm=,"2sm""YOUSgmas""",64067,VbPred,762,943854
sfx:W,Leviticus,19,17,528395,NF>,sfx,"3sm=<MJT+2sm""YOUSgmas""","<MJT 2sm""YOUSgmas""",64068,Compl1,763,64068
XV>,Leviticus,19,17,528395,NF>,XV>,...,...,64069,Obj1,764,...
TQM,Leviticus,19,18,528396,NQM,NQM,2sm=,"2sm""YOUSgmas""",64071,VbPred,765,943858
TVR,Leviticus,19,18,528397,NVR,NVR,2sm=,"2sm""YOUSgmas""",64074,VbPred,766,943861
>T BNJ <MK,Leviticus,19,18,528397,NVR,>T BN <M+S,...,...,64075 64076 64077,Obj1,767 768 769,...
<MK,Leviticus,19,18,528397,NVR,<M+212,...,...,64077,#NAVN?,768 769,...
sfx:K,Leviticus,19,18,528397,NVR,sfx,2sm=,"2sm""YOUSgmas""",64077,#NAVN?,769,64077
>HBT,Leviticus,19,18,528398,>HB,>HB,2sm=,"2sm""YOUSgmas""",64079,VbPred,770,943864
L-R<K,Leviticus,19,18,528398,>HB,L R<+212,"0sm=R<+2sm""YOUSgmas""","R< 2sm""YOUSgmas""",64080 64081,Compl1,771 772,943865
sfx:K,Leviticus,19,18,528398,>HB,sfx,2sm=,"2sm""YOUSgmas""",64081,#NAVN?,772,64081
sfx:K,Leviticus,19,18,528398,>HB,sfx,2sm=,"2sm""YOUSgmas""",64082,Adjunc,773,64082
>NJ,Leviticus,19,18,528399,....,>NJ,1sc=>NJ,JHWH,64083,Subj,774,943867
JHWH,Leviticus,19,18,528399,....,JHWH,3sm=JHWH,JHWH,64084,PrCompl,775,943868
>T XQTJ,Leviticus,19,19,528400,CMR,>T XQH+110,0pf=XQH+>NJ,XQH JHWH,64085 64086,Obj1,776 777,943869
sfx:J,Leviticus,19,19,528400,CMR,sfx,1sc=>NJ,JHWH,64086,#NAVN?,777,64086
TCMRW,Leviticus,19,19,528400,CMR,CMR,2pm=,BN JFR>L,64087,VbPred,778,943870
BHMTK,Leviticus,19,19,528401,RB<,BHMH+212,...,...,64088,Obj1,779 780,...
sfx:K,Leviticus,19,19,528401,RB<,sfx,2sm=,"2sm""YOUSgmas""",64088,#NAVN?,780,64088
TRBJ<,Leviticus,19,19,528401,RB<,RB<,2sm=,"2sm""YOUSgmas""",64090,VbPred,781,943873
KL>JM,Leviticus,19,19,528401,RB<,KL>JM,...,...,64091,525,782,...
FDK,Leviticus,19,19,528402,ZR<,FDH+212,"0sm=FDH+2sm""YOUSgmas""","FDH 2sm""YOUSgmas""",64092,Obj1,783 784,943875
sfx:K,Leviticus,19,19,528402,ZR<,sfx,2sm=,"2sm""YOUSgmas""",64092,#NAVN?,784,64092
TZR<,Leviticus,19,19,528402,ZR<,ZR<,2sm=,"2sm""YOUSgmas""",64094,VbPred,785,943877
KL>JM,Leviticus,19,19,528402,ZR<,KL>JM,...,...,64095,525,786,...
BGD KL>JM,Leviticus,19,19,528403,<LH,BGD KL>JM,3sm=BGD,BGD,64097 64098,Subj,787 788,943880
KL>JM,Leviticus,19,19,528403,<LH,KL>JM,...,...,64098,#NAVN?,788,...
C<VNZ,Leviticus,19,19,528403,<LH,C<VNZ,...,BGD,64099,#NAVN?,789,943881
J<LH,Leviticus,19,19,528403,<LH,<LH,3sm=BGD,BGD,64101,VbPred,790,943883
sfx:K,Leviticus,19,19,528403,<LH,sfx,2sm=,"2sm""YOUSgmas""",64102,Compl1,791,64102
>JC,Leviticus,19,20,528404,....,>JC,3pm=>JC,>JC,64104,572,792,943886
JCKB,Leviticus,19,20,528405,CKB,CKB,3pm=>JC,>JC,64106,VbPred,793,943888
>T >CH,Leviticus,19,20,528405,CKB,>T >CH,...,CPXH,64107 64108,Compl1,794,943889
CKBT ZR<,Leviticus,19,20,528405,CKB,CKBH ZR<,...,...,64109 64110,Obj1,795 796,...
ZR<,Leviticus,19,20,528405,CKB,ZR<,3pm=>JC,...,64110,#NAVN?,796,...
HW>,Leviticus,19,20,528406,....,HJ>,3sf=CPXH,CPXH,64112,Subj,797,943892
CPXH,Leviticus,19,20,528406,....,CPXH,3sf=CPXH,CPXH,64113,PrCompl,798,943893
NXRPT,Leviticus,19,20,528407,....,XRP,3sf=CPXH,CPXH,64114,PrCompl,799,943894
L->JC,Leviticus,19,20,528407,....,L >JC,3pm=>JC,>JC_2,64115 64116,Compl1,800,943895
NPDTH,Leviticus,19,20,528408,PDH,PDH,3sf=CPXH,CPXH,64120,VbPred,801,943899
XPCH,Leviticus,19,20,528409,NTN,XPCH,...,...,64122,Obj1,802,...
NTN,Leviticus,19,20,528409,NTN,NTN,3pm=>JC,...,64124,VbPred,803,...
sfx:H,Leviticus,19,20,528409,NTN,sfx,3sf=CPXH,CPXH,64125,Compl1,804,64125
BQRT,Leviticus,19,20,528410,HJH,BQRT,3sf=BQRT,BQRT,64126,PrCompl,805,943905
THJH,Leviticus,19,20,528410,HJH,HJH,3sf=BQRT,BQRT,64127,VbPred,806,943906
JWMTW,Leviticus,19,20,528411,MWT,MWT,3pm=>JC,>JC CPXH,64129,VbPred,807,943908
XPCH,Leviticus,19,20,528412,XPC,XPC,3sf=CPXH,CPXH,64132,VbPred,808,943911
HBJ>,Leviticus,19,21,528413,BW>,BW>,3pm=>JC,>JC,64134,VbPred,809,943913
>T >CMW,Leviticus,19,21,528413,BW>,>T >CM+312,...,...,64135 64136,Obj1,810 811,...
sfx:W,Leviticus,19,21,528413,BW>,sfx,3pm=>JC,>JC,64136,#NAVN?,811,64136
L-JHWH,Leviticus,19,21,528413,BW>,L JHWH,3sm=JHWH,JHWH,64137 64138,#NAVN?,812,943915
>L PTX >HL MW<D,Leviticus,19,21,528413,BW>,>L PTX >HL MW<D,...,...,64139 64140 64141 64142,Compl1,813 814 815,...
>HL MW<D,Leviticus,19,21,528413,BW>,>HL MW<D,...,...,64141 64142,#NAVN?,814 815,...
MW<D,Leviticus,19,21,528413,BW>,MW<D,...,...,64142,#NAVN?,815,...
>JL >CM,Leviticus,19,21,528413,BW>,>JL >CM,0sm=>JL >CM,>JL >CM,64143 64144,#NAVN?,816 817,943917
>CM,Leviticus,19,21,528413,BW>,>CM,3pm=>JC,>CM,64144,#NAVN?,817,1317549
KPR,Leviticus,19,22,528414,KPR,KPR,3sm=KHN,KHN,64146,VbPred,818,943919
sfx:W,Leviticus,19,22,528414,KPR,sfx,3pm=>JC,>JC,64147,Compl1,819,64147
H-KHN,Leviticus,19,22,528414,KPR,H KHN,3sm=KHN,KHN,64148 64149,Subj,820,943921
B->JL H->CM,Leviticus,19,22,528414,KPR,B >JL H >CM,...,>JL >CM,64150 64151 64152 64153,Compl2,821 822,943922
H->CM,Leviticus,19,22,528414,KPR,H >CM,0sm=>JL >CM,>CM,64152 64153,#NAVN?,822,1317551
L-PNJ JHWH,Leviticus,19,22,528414,KPR,L PNH JHWH,...,...,64154 64155 64156,505,823 824,...
JHWH,Leviticus,19,22,528414,KPR,JHWH,3sm=JHWH,JHWH,64156,#NAVN?,824,1317553
<L XV>TW,Leviticus,19,22,528414,KPR,<L XV>T+312,0sf=XV>T+>JC,XV>T >JC,64157 64158,Adjunc,825 826,943924
sfx:W,Leviticus,19,22,528414,KPR,sfx,3pm=>JC,>JC,64158,#NAVN?,826,64158
XV>,Leviticus,19,22,528415,XV>,XV>,3pm=>JC,>JC,64160,VbPred,827,943926
NSLX,Leviticus,19,22,528416,SLX,SLX,3sm=SLX,...,64162,VbPred,828,...
sfx:W,Leviticus,19,22,528416,SLX,sfx,3pm=>JC,>JC,64163,Compl1,829,64163
M-XV>TW,Leviticus,19,22,528416,SLX,MN XV>T+312,0sf=XV>T+>JC,XV>T >JC,64164 64165,Compl2,830 831,943930
sfx:W,Leviticus,19,22,528416,SLX,sfx,3pm=>JC,>JC,64165,#NAVN?,831,64165
XV>,Leviticus,19,22,528417,XV>,XV>,3pm=>JC,>JC,64167,VbPred,832,943932
TB>W,Leviticus,19,23,528418,BW>,BW>,2pm=,BN JFR>L,64170,VbPred,833,943935
>L H->RY,Leviticus,19,23,528418,BW>,>L H >RY,3sf=>RY,>RY,64171 64172 64173,Compl1,834,943936
NV<TM,Leviticus,19,23,528419,NV<,NV<,2pm=,BN JFR>L,64175,VbPred,835,943938
<Y M>KL,Leviticus,19,23,528419,NV<,<Y M>KL,3sm=<Y M>KL,<Y M>KL,64177 64178,Obj1,836 837,1317557
M>KL,Leviticus,19,23,528419,NV<,M>KL,3sm=<Y M>KL,...,64178,#NAVN?,837,...
<RLTM,Leviticus,19,23,528420,<RL,<RL,2pm=,BN JFR>L,64180,VbPred,838,943941
<RLTW,Leviticus,19,23,528420,<RL,<RLH+312,...,...,64181,Obj1,839 840,...
sfx:W,Leviticus,19,23,528420,<RL,sfx,3sm=<Y M>KL,<Y M>KL,64181,#NAVN?,840,64181
>T PRJW,Leviticus,19,23,528420,<RL,>T PRJ+312,3sm=PRJ+<Y M>KL,PRJ <Y M>KL,64182 64183,Obj2,841 842,943943
sfx:W,Leviticus,19,23,528420,<RL,sfx,3sm=<Y M>KL,<Y M>KL,64183,#NAVN?,842,64183
CLC CNJM,Leviticus,19,23,528421,HJH,CLC CNH,...,...,64184 64185,Time,843,...
JHJH,Leviticus,19,23,528421,HJH,HJH,3sm=HJH,PRJ <Y M>KL,64186,VbPred,844,943945
sfx:KM,Leviticus,19,23,528421,HJH,sfx,2pm=,BN JFR>L,64187,Compl1,845,64187
<RLJM,Leviticus,19,23,528421,HJH,<RL,...,PRJ <Y M>KL,64188,PrCompl,846,943947
J>KL,Leviticus,19,23,528422,>KL,>KL,3sm=>KL,PRJ <Y M>KL,64190,VbPred,847,943949
B--CNH H-RBJ<T,Leviticus,19,24,528423,HJH,B H CNH H RBJ<J,...,...,64192 64193 64194 64195 64196,Time,848,...
JHJH,Leviticus,19,24,528423,HJH,HJH,3sm=PRJ+<Y M>KL,PRJ <Y M>KL,64197,VbPred,849,943952
PRJW,Leviticus,19,24,528423,HJH,PRJ+312,3sm=PRJ+<Y M>KL,PRJ <Y M>KL,64199,Subj,850 851,1317563
sfx:W,Leviticus,19,24,528423,HJH,sfx,3sm=<Y M>KL,<Y M>KL,64199,#NAVN?,851,64199
QDC,Leviticus,19,24,528423,HJH,QDC,3sm=<Y M>KL,PRJ <Y M>KL,64200,PrCompl,852,943954
HLWLJM,Leviticus,19,24,528424,....,HLWLJM,2pm=,HLWLJM,64201,Subj,853,943955
L-JHWH,Leviticus,19,24,528424,....,L JHWH,3sm=JHWH,HLWLJM,64202 64203,PrCompl,854,943956
B--CNH H-XMJCT,Leviticus,19,25,528425,>KL,B H CNH H XMJCJ,...,...,64205 64206 64207 64208 64209,Time,855,...
T>KLW,Leviticus,19,25,528425,>KL,>KL,2pm=,BN JFR>L,64210,VbPred,856,943959
>T PRJW,Leviticus,19,25,528425,>KL,>T PRJ+312,3sm=PRJ+<Y M>KL,PRJ <Y M>KL,64211 64212,Obj1,857 858,943960
sfx:W,Leviticus,19,25,528425,>KL,sfx,3sm=<Y M>KL,<Y M>KL,64212,#NAVN?,858,64212
L-HWSJP,Leviticus,19,25,528426,JSP,L JSP,2pm=,BN JFR>L,64213 64214,VbPred,859,943961
sfx:KM,Leviticus,19,25,528426,JSP,sfx,2pm=,BN JFR>L,64215,Compl1,860,64215
TBW>TW,Leviticus,19,25,528426,JSP,TBW>H+312,...,...,64216,Obj1,861 862,...
sfx:W,Leviticus,19,25,528426,JSP,sfx,3sm=<Y M>KL,<Y M>KL,64216,#NAVN?,862,64216
>NJ,Leviticus,19,25,528427,....,>NJ,1sc=>NJ,JHWH,64217,Subj,863,943964
JHWH,Leviticus,19,25,528427,....,JHWH,3sm=JHWH,JHWH,64218,PrCompl,864,943965
>LHJKM,Leviticus,19,25,528427,....,>LHJM+232,"0pm=>LHJM+2pm""YOUPlmas""",JHWH,64219,#NAVN?,865 866,943966
sfx:KM,Leviticus,19,25,528427,....,sfx,2pm=,BN JFR>L,64219,#NAVN?,866,64219
T>KLW,Leviticus,19,26,528428,>KL,>KL,2pm=,BN JFR>L,64221,VbPred,867,943968
<L H-DM,Leviticus,19,26,528428,>KL,<L H DM,...,...,64222 64223 64224,Compl1,868,...
TNXCW,Leviticus,19,26,528429,NXC,NXC,2pm=,BN JFR>L,64226,VbPred,869,943971
T<WNNW,Leviticus,19,26,528430,<NN,<NN,2pm=,BN JFR>L,64229,VbPred,870,943974
TQPW,Leviticus,19,27,528431,NQP,NQP,2pm=,BN JFR>L,64231,VbPred,871,943976
P>T R>CKM,Leviticus,19,27,528431,NQP,P>H R>C+S,...,...,64232 64233,Obj1,872 873 874,...
R>CKM,Leviticus,19,27,528431,NQP,R>C+232,2sm=,...,64233,#NAVN?,873 874,...
sfx:KM,Leviticus,19,27,528431,NQP,sfx,2pm=,BN JFR>L,64233,#NAVN?,874,64233
TCXJT,Leviticus,19,27,528432,CXT,CXT,2sm=,"2sm""YOUSgmas""",64236,VbPred,875,943980
>T P>T ZQNK,Leviticus,19,27,528432,CXT,>T P>H ZQN+S,...,...,64237 64238 64239,Obj1,876 877 878,...
ZQNK,Leviticus,19,27,528432,CXT,ZQN+212,...,...,64239,#NAVN?,877 878,...
sfx:K,Leviticus,19,27,528432,CXT,sfx,2sm=,"2sm""YOUSgmas""",64239,#NAVN?,878,64239
FRV,Leviticus,19,28,528433,NTN,FRV,...,...,64241,Obj1,879,...
L-NPC,Leviticus,19,28,528433,NTN,L NPC,...,...,64242 64243,#NAVN?,880,...
TTNW,Leviticus,19,28,528433,NTN,NTN,2pm=,BN JFR>L,64245,VbPred,881,943986
B-BFRKM,Leviticus,19,28,528433,NTN,B BFR+232,...,...,64246 64247,Compl1,882 883,...
sfx:KM,Leviticus,19,28,528433,NTN,sfx,2pm=,BN JFR>L,64247,#NAVN?,883,64247
KTBT Q<Q<,Leviticus,19,28,528434,NTN,KTBT Q<Q<,...,...,64249 64250,Obj1,884 885,...
Q<Q<,Leviticus,19,28,528434,NTN,Q<Q<,2sm=,...,64250,#NAVN?,885,...
TTNW,Leviticus,19,28,528434,NTN,NTN,2pm=,BN JFR>L,64252,VbPred,886,943991
sfx:KM,Leviticus,19,28,528434,NTN,sfx,2pm=,BN JFR>L,64253,Compl1,887,64253
>NJ,Leviticus,19,28,528435,....,>NJ,1sc=>NJ,JHWH,64254,Subj,888,943993
JHWH,Leviticus,19,28,528435,....,JHWH,3sm=JHWH,JHWH,64255,PrCompl,889,943994
TXLL,Leviticus,19,29,528436,XLL,XLL,2sm=,"2sm""YOUSgmas""",64257,VbPred,890,943996
>T BTK,Leviticus,19,29,528436,XLL,>T BT+212,...,"BT 2sm""YOUSgmas""",64258 64259,Obj1,891 892,943997
sfx:K,Leviticus,19,29,528436,XLL,sfx,2sm=,"2sm""YOUSgmas""",64259,#NAVN?,892,64259
L-HZNWTH,Leviticus,19,29,528437,ZNH,L ZNH,2sm=,"2sm""YOUSgmas""",64260 64261,VbPred,893 894,943998
sfx:H,Leviticus,19,29,528437,ZNH,sfx,2sm=,"BT 2sm""YOUSgmas""",64261,Obj1,894,64261
TZNH,Leviticus,19,29,528438,ZNH,ZNH,3sf=>RY,>RY,64264,VbPred,895,944001
H->RY,Leviticus,19,29,528438,ZNH,H >RY,3sf=>RY,>RY,64265 64266,Subj,896,944002
ML>H,Leviticus,19,29,528439,ML>,ML>,3sf=>RY,>RY,64268,VbPred,897,944004
H->RY,Leviticus,19,29,528439,ML>,H >RY,3sf=>RY,>RY,64269 64270,Subj,898,944005
ZMH,Leviticus,19,29,528439,ML>,ZMH,...,...,64271,Obj1,899,...
>T CBTTJ,Leviticus,19,30,528440,CMR,>T CBT+110,0pf=CBT+>NJ,CBT JHWH,64272 64273,Obj1,900 901,944007
sfx:J,Leviticus,19,30,528440,CMR,sfx,1sc=>NJ,JHWH,64273,#NAVN?,901,64273
TCMRW,Leviticus,19,30,528440,CMR,CMR,2pm=,BN JFR>L,64274,VbPred,902,944008
MQDCJ,Leviticus,19,30,528441,JR>,MQDC+110,...,...,64276,Obj1,903 904,...
sfx:J,Leviticus,19,30,528441,JR>,sfx,1sc=>NJ,JHWH,64276,#NAVN?,904,64276
TJR>W,Leviticus,19,30,528441,JR>,JR>,2pm=,BN JFR>L,64277,VbPred,905,944011
>NJ,Leviticus,19,30,528442,....,>NJ,1sc=>NJ,JHWH,64278,Subj,906,944012
JHWH,Leviticus,19,30,528442,....,JHWH,3sm=JHWH,JHWH,64279,PrCompl,907,944013
TPNW,Leviticus,19,31,528443,PNH,PNH,2pm=,BN JFR>L,64281,VbPred,908,944015
>L H->BT,Leviticus,19,31,528443,PNH,>L H >WB,...,...,64282 64283 64284,Compl1,909,...
>L H-JD<NJM,Leviticus,19,31,528444,BQC,>L H JD<NJ,3pm=JD<NJ,JD<NJ,64286 64287 64288,Compl1,910,944018
TBQCW,Leviticus,19,31,528444,BQC,BQC,2pm=,BN JFR>L,64290,VbPred,911,944020
L-VM>H,Leviticus,19,31,528445,VM>,L VM>,2pm=,BN JFR>L,64291 64292,VbPred,912,944021
sfx:HM,Leviticus,19,31,528445,VM>,sfx,3pm=JD<NJ,JD<NJ,64293,Compl1,913,64293
>NJ,Leviticus,19,31,528446,....,>NJ,1sc=>NJ,JHWH,64294,Subj,914,944023
JHWH,Leviticus,19,31,528446,....,JHWH,3sm=JHWH,JHWH,64295,PrCompl,915,944024
>LHJKM,Leviticus,19,31,528446,....,>LHJM+232,"0pm=>LHJM+2pm""YOUPlmas""",JHWH,64296,#NAVN?,916 917,944025
sfx:KM,Leviticus,19,31,528446,....,sfx,2pm=,BN JFR>L,64296,#NAVN?,917,64296
M-PNJ FJBH,Leviticus,19,32,528447,QWM,MN PNH FJBH,...,...,64297 64298 64299,Compl1,918 919,...
FJBH,Leviticus,19,32,528447,QWM,FJBH,...,...,64299,#NAVN?,919,...
TQWM,Leviticus,19,32,528447,QWM,QWM,2sm=,"2sm""YOUSgmas""",64300,VbPred,920,944027
HDRT,Leviticus,19,32,528448,HDR,HDR,2sm=,"2sm""YOUSgmas""",64302,VbPred,921,944029
PNJ ZQN,Leviticus,19,32,528448,HDR,PNH ZQN,2pm=,...,64303 64304,Obj1,922 923,...
ZQN,Leviticus,19,32,528448,HDR,ZQN,2sm=,...,64304,#NAVN?,923,...
JR>T,Leviticus,19,32,528449,JR>,JR>,2sm=,"2sm""YOUSgmas""",64306,VbPred,924,944032
M->LHJK,Leviticus,19,32,528449,JR>,MN >LHJM+212,"0pm=>LHJM+2sm""YOUSgmas""",">LHJM 2sm""YOUSgmas""",64307 64308,Compl1,925 926,944033
sfx:K,Leviticus,19,32,528449,JR>,sfx,2sm=,"2sm""YOUSgmas""",64308,#NAVN?,926,64308
>NJ,Leviticus,19,32,528450,....,>NJ,1sc=>NJ,JHWH,64309,Subj,927,944034
JHWH,Leviticus,19,32,528450,....,JHWH,3sm=JHWH,JHWH,64310,PrCompl,928,944035
JGWR,Leviticus,19,33,528451,GWR,GWR,3sm=GR,GR,64313,VbPred,929,944038
sfx:K,Leviticus,19,33,528451,GWR,sfx,2sm=,"2sm""YOUSgmas""",64314,Compl1,930,64314
GR,Leviticus,19,33,528451,GWR,GR,3sm=GR,GR,64315,Subj,931,944040
B->RYKM,Leviticus,19,33,528451,GWR,B >RY+232,">RY+2pm""YOUPlmas""",>RY BN JFR>L,64316 64317,Locat,932 933,944041
sfx:KM,Leviticus,19,33,528451,GWR,sfx,2pm=,BN JFR>L,64317,#NAVN?,933,64317
TWNW,Leviticus,19,33,528452,JNH,JNH,2pm=,BN JFR>L,64319,VbPred,934,944043
sfx:W,Leviticus,19,33,528452,JNH,sfx,3sm=GR,GR,64320,Obj1,935,64320
K->ZRX,Leviticus,19,34,528453,HJH,K >ZRX,...,GR,64321 64322,PrCompl,936,944045
sfx:KM,Leviticus,19,34,528453,HJH,sfx,2pm=,BN JFR>L,64323,#NAVN?,937,64323
JHJH,Leviticus,19,34,528453,HJH,HJH,3sm=GR,GR,64324,VbPred,938,944047
sfx:KM,Leviticus,19,34,528453,HJH,sfx,2pm=,BN JFR>L,64325,Compl1,939,64325
H-GR,Leviticus,19,34,528453,HJH,H GR,2sm=,GR,64326 64327,Subj,940,944049
GR,Leviticus,19,34,528454,....,GWR,3sm=GR,GR,64329,PrCompl,941,944051
sfx:KM,Leviticus,19,34,528454,....,sfx,2pm=,BN JFR>L,64330,Compl1,942,64330
>HBT,Leviticus,19,34,528455,>HB,>HB,2sm=,"2sm""YOUSgmas""",64332,VbPred,943,944054
sfx:W,Leviticus,19,34,528455,>HB,sfx,3sm=GR,GR,64333,Compl1,944,64333
sfx:K,Leviticus,19,34,528455,>HB,sfx,2sm=,"2sm""YOUSgmas""",64334,Adjunc,945,64334
GRJM,Leviticus,19,34,528456,HJH,GR,2pm=,BN JFR>L,64336,PrCompl,946,944058
HJJTM,Leviticus,19,34,528456,HJH,HJH,2pm=,BN JFR>L,64337,VbPred,947,944059
B->RY MYRJM,Leviticus,19,34,528456,HJH,B >RY MYRJM,>RY MYRJM,>RY MYRJM,64338 64339 64340,Compl1,948 949,944060
MYRJM,Leviticus,19,34,528456,HJH,MYRJM,MYRJM,MYRJM,64340,#NAVN?,949,1317577
>NJ,Leviticus,19,34,528457,....,>NJ,1sc=>NJ,JHWH,64341,Subj,950,944061
JHWH,Leviticus,19,34,528457,....,JHWH,3sm=JHWH,JHWH,64342,PrCompl,951,944062
>LHJKM,Leviticus,19,34,528457,....,>LHJM+232,"0pm=>LHJM+2pm""YOUPlmas""",JHWH,64343,#NAVN?,952 953,944063
sfx:KM,Leviticus,19,34,528457,....,sfx,2pm=,BN JFR>L,64343,#NAVN?,953,64343
T<FW,Leviticus,19,35,528458,<FH,<FH,2pm=,BN JFR>L,64345,VbPred,954,944065
<WL,Leviticus,19,35,528458,<FH,<WL,0sm=<WL,<WL,64346,Obj1,955,944066
B--MCPV,Leviticus,19,35,528458,<FH,B H MCPV,0sm=MCPV,MCPV,64347 64348 64349,Compl1,956,944067
B--MDH B--MCQL W-B--MFWRH,Leviticus,19,35,528458,<FH,B H MDH B H MCQL W B H MFWRH,...,...,64350 64351 64352 64353 64354 64355 64356 64357 64358 64359,#NAVN?,957 958 959 960,...
B--MDH,Leviticus,19,35,528458,<FH,B H MDH,...,...,64350 64351 64352,#NAVN?,958,...
B--MCQL,Leviticus,19,35,528458,<FH,B H MCQL,...,...,64353 64354 64355,#NAVN?,959,...
B--MFWRH,Leviticus,19,35,528458,<FH,B H MFWRH,...,...,64357 64358 64359,#NAVN?,960,...
M>ZNJ YDQ,Leviticus,19,36,528459,HJH,M>ZNJM YDQ,M>ZNJM YDQ,M>ZNJM YDQ,64360 64361,Subj,961 962,944069
YDQ,Leviticus,19,36,528459,HJH,YDQ,0sm=YDQ,YDQ,64361,#NAVN?,962,1317583
>BNJ YDQ >JPT YDQ W-HJN YDQ,Leviticus,19,36,528459,HJH,>BN YDQ >JPH YDQ W HJN YDQ,...,...,64362 64363 64364 64365 64366 64367 64368,#NAVN?,963 964 965 966 967 968 969 970,...
>BNJ YDQ >JPT YDQ,Leviticus,19,36,528459,HJH,>BN YDQ >JPH YDQ,...,...,64362 64363 64364 64365,#NAVN?,964 965 966 967 968,...
>BNJ YDQ,Leviticus,19,36,528459,HJH,>BN YDQ,...,...,64362 64363,#NAVN?,965 966,...
YDQ,Leviticus,19,36,528459,HJH,YDQ,0sm=YDQ,YDQ,64363,#NAVN?,966,1317585
>JPT YDQ,Leviticus,19,36,528459,HJH,>JPH YDQ,...,...,64364 64365,#NAVN?,967 968,...
YDQ,Leviticus,19,36,528459,HJH,YDQ,0sm=YDQ,YDQ,64365,#NAVN?,968,1317588
HJN YDQ,Leviticus,19,36,528459,HJH,HJN YDQ,...,...,64367 64368,#NAVN?,969 970,...
YDQ,Leviticus,19,36,528459,HJH,YDQ,0sm=YDQ,YDQ,64368,#NAVN?,970,1317592
JHJH,Leviticus,19,36,528459,HJH,HJH,M>ZNJM YDQ,M>ZNJM YDQ,64369,VbPred,971,944071
sfx:KM,Leviticus,19,36,528459,HJH,sfx,2pm=,BN JFR>L,64370,PrCompl,972,64370
>NJ,Leviticus,19,36,528460,....,>NJ,1sc=>NJ,JHWH,64371,Subj,973,944073
JHWH,Leviticus,19,36,528460,....,JHWH,3sm=JHWH,JHWH,64372,PrCompl,974,944074
>LHJKM,Leviticus,19,36,528460,....,>LHJM+232,"0pm=>LHJM+2pm""YOUPlmas""",JHWH,64373,#NAVN?,975 976,944075
sfx:KM,Leviticus,19,36,528460,....,sfx,2pm=,BN JFR>L,64373,#NAVN?,976,64373
HWY>TJ,Leviticus,19,36,528461,JY>,JY>,1sc=>NJ,JHWH,64375,VbPred,977,944077
sfx:KM,Leviticus,19,36,528461,JY>,sfx,2pm=,BN JFR>L,64376,Obj1,978,64376
